kind,route,route_name,shift,direction,day_type,depart,arrive,group_time,stop
stop,,,,,,,,12:00 noon,Boca
stop,,,,,,,,12:00 noon,Snug Corner
stop,,,,,,,,12:00 noon,Beaulieu
stop,,,,,,,,12:00 noon,Tempe Roundabout
stop,,,,,,,,1:15 p.m.,Mt. Parnassus
stop,,,,,,,,1:15 p.m.,Creighton
stop,,,,,,,,1:15 p.m.,Richmond Hill
stop,,,,,,,,1:15 p.m.,White Gun
stop,,,,,,,,1:15 p.m.,The Lane
stop,,,,,,,,1:15 p.m.,Springs
stop,,,,,,,,1:15 p.m.,Woodlands
stop,,,,,,,,2:00 p.m.,MBIA

trip,2,Grand Bras via Grand Etang,afternoon,outbound,mon_sat,2:15 p.m.,,,
stop,,,,,,,,,MBIA
stop,,,,,,,,,Woodlands
stop,,,,,,,,,Melville Street

trip,2,Grand Bras via Grand Etang,afternoon,outbound,sun_hol,2:15 p.m.,,,
stop,,,,,,,,,MBIA
stop,,,,,,,,,Woodlands
stop,,,,,,,,,Springs
stop,,,,,,,,,The Lane
stop,,,,,,,,,Richmond Hill
stop,,,,,,,,,Creighton
stop,,,,,,,,,Mt. Parnassus
stop,,,,,,,,,Tempe Roundabout
stop,,,,,,,,,Beaulieu
stop,,,,,,,,,Snug Corner
stop,,,,,,,,,Boca
stop,,,,,,,,,Mt. Kuma
stop,,,,,,,,,Grenville Vale
stop,,,,,,,,,Willis
stop,,,,,,,,,Constantine
stop,,,,,,,,,Birch Grove
stop,,,,,,,,,Grand Bras

trip,2,Grand Bras via Grand Etang,night,inbound,daily,8:30 p.m.,10:30 p.m.,,
stop,,,,,,,,8:30 p.m.,Grand Bras
stop,,,,,,,,8:30 p.m.,Birch Grove
stop,,,,,,,,8:30 p.m.,Constantine
stop,,,,,,,,8:30 p.m.,Willis
stop,,,,,,,,8:30 p.m.,Grenville Vale
stop,,,,,,,,8:30 p.m.,Mt. Kuma
stop,,,,,,,,8:30 p.m.,Boca
stop,,,,,,,,8:30 p.m.,Snug Corner
stop,,,,,,,,8:30 p.m.,Beaulieu
stop,,,,,,,,8:30 p.m.,Tempe Roundabout
stop,,,,,,,,9:45 p.m.,Mt. Parnassus
stop,,,,,,,,9:45 p.m.,Creighton
stop,,,,,,,,9:45 p.m.,Richmond Hill
stop,,,,,,,,9:45 p.m.,White Gun
stop,,,,,,,,9:45 p.m.,The Lane
stop,,,,,,,,9:45 p.m.,Springs
stop,,,,,,,,9:45 p.m.,Woodlands
stop,,,,,,,,10:30 p.m.,MBIA

trip,2,Grand Bras via Grand Etang,night,outbound,daily,10:45 p.m.,,,
stop,,,,,,,,,MBIA
stop,,,,,,,,,Woodlands
stop,,,,,,,,,Springs
stop,,,,,,,,,The Lane
stop,,,,,,,,,Richmond Hill
stop,,,,,,,,,Creighton
stop,,,,,,,,,Mt. Parnassus
stop,,,,,,,,,Tempe Roundabout
stop,,,,,,,,,Beaulieu
stop,,,,,,,,,Snug Corner
stop,,,,,,,,,Boca
stop,,,,,,,,,Mt. Kuma
stop,,,,,,,,,Grenville Vale
stop,,,,,,,,,Willis
stop,,,,,,,,,Constantine
stop,,,,,,,,,Birch Grove
stop,,,,,,,,,Grand Bras

trip,3,Tivoli (Eastern Main Road),morning,inbound,daily,3:30 a.m.,5:30 a.m.,,
stop,,,,,,,,3:30 a.m.,Tivoli Junction
stop,,,,,,,,3:30 a.m.,Grenville Town
stop,,,,,,,,3:30 a.m.,Marquis
stop,,,,,,,,3:30 a.m.,Hope
stop,,,,,,,,3:30 a.m.,Grand Bacolet Junction
stop,,,,,,,,3:30 a.m.,Corinth
stop,,,,,,,,4:45 a.m.,Red Gate
stop,,,,,,,,4:45 a.m.,Westerhall
stop,,,,,,,,4:45 a.m.,Calivigny
stop,,,,,,,,4:45 a.m.,Gap Gospel Hall
stop,,,,,,,,4:45 a.m.,Upper Woburn
stop,,,,,,,,4:45 a.m.,Lower Woburn
stop,,,,,,,,4:45 a.m.,Grand Anse Valley
stop,,,,,,,,5:30 a.m.,MBIA

trip,3,Tivoli (Eastern Main Road),morning,outbound,mon_sat,6:10 a.m.,,,
stop,,,,,,,,,MBIA
stop,,,,,,,,,Melville Street

trip,3,Tivoli (Eastern Main Road),morning,outbound,sun_hol,6:10 a.m.,,,
stop,,,,,,,,,MBIA
stop,,,,,,,,,Grand Anse Valley
stop,,,,,,,,,Lower Woburn
stop,,,,,,,,,Upper Woburn
stop,,,,,,,,,Calivigny
stop,,,,,,,,,Gap Gospel Hall
stop,,,,,,,,,Westerhall
stop,,,,,,,,,Red Gate
stop,,,,,,,,,Corinth
stop,,,,,,,,,Grand Bacolet Junction
stop,,,,,,,,,Hope
stop,,,,,,,,,Marquis
stop,,,,,,,,,Grenville Town
stop,,,,,,,,,Tivoli Junction

trip,3,Tivoli (Eastern Main Road),afternoon,inbound,sun_hol,12:00 noon,2:00 p.m.,,
stop,,,,,,,,12:00 noon,Tivoli Junction
stop,,,,,,,,12:00 noon,Grenville Town
