kind,building,section,area,mode,activity,frequency
task,Air Terminal Building (ATB),Public Concourse Areas,Walkways & Corridors,,"Pressure Wash Concrete Area",1/120
bundle_ref,Air Terminal Building (ATB),Public Concourse Areas,Walkways & Corridors,,"Terrazzo Maintenance and Floor Care",
task,Air Terminal Building (ATB),Public Concourse Areas,Stairwells,,"Clean and sanitize handrails",2/1
task,Air Terminal Building (ATB),Public Concourse Areas,Stairwells,,"Sweep and Mop treaders / steps",2/1
task,Air Terminal Building (ATB),Public Concourse Areas,Stairwells,,"Spot clean walls",1/5
task,Air Terminal Building (ATB),Public Concourse Areas,Stairwells,,"Wipe walls",1/30
task,Air Terminal Building (ATB),Public Concourse Areas,Stairwells,,"Cobweb Ceilings",1/60
task,Air Terminal Building (ATB),Public Concourse Areas,Canopies / Ceilings,,"Sweep Concrete Area",1/1
task,Air Terminal Building (ATB),Public Concourse Areas,Canopies / Ceilings,,"Wipe overhead beams",2/5
task,Air Terminal Building (ATB),Public Concourse Areas,Canopies / Ceilings,,"Cobweb Ceiling",1/30
task,Air Terminal Building (ATB),Public Concourse Areas,Canopies / Ceilings,,"Wipe Ledges",1/30
task,Air Terminal Building (ATB),Public Concourse Areas,Canopies / Ceilings,,"Pressure Wash Concrete Area",1/120
task,Air Terminal Building (ATB),Public Concourse Areas,Canopies / Ceilings,,"Wash Overhead Steel Beams and Railings",1/90
task,Auxiliary Buildings,,Maintenance Complex & Lunchroom,,"Empty Bins/Dispose of Litter",1/1
task,Auxiliary Buildings,,Maintenance Complex & Lunchroom,,"Clean and sanitize chairs, tables & telephones",1/1
task,Auxiliary Buildings,,Maintenance Complex & Lunchroom,,"Sweep and mop floor area",1/1
task,Auxiliary Buildings,,Maintenance Complex & Lunchroom,,"Clean Windows and Doors",2/5
task,Auxiliary Buildings,,Maintenance Complex & Lunchroom,,"Clean microwave & refrigerator",2/5
task,Auxiliary Buildings,,Maintenance Complex & Lunchroom,,"Dust high surfaces (ledges, partitions, top of shelves)",1/5
task,Auxiliary Buildings,,Maintenance Complex & Lunchroom,,"Spot clean walls and light switches",1/5
task,Auxiliary Buildings,,Maintenance Complex & Lunchroom,,"Cobweb Ceilings",1/60
task,Auxiliary Buildings,,Maintenance Complex & Lunchroom,,"Wipe walls & ledges",1/90
task,Auxiliary Buildings,,Air Traffic Control Tower & ECCAA Tech Block,,"Empty Bins/Dispose of Litter",1/1
task,Auxiliary Buildings,,Air Traffic Control Tower & ECCAA Tech Block,,"Clean and sanitize tables, chairs and telephones",1/1
task,Auxiliary Buildings,,Air Traffic Control Tower & ECCAA Tech Block,,"Sweep & Mop floor and Staircase",1/1
task,Auxiliary Buildings,,Air Traffic Control Tower & ECCAA Tech Block,,"Clean Glass Windows & Doors",2/5
task,Auxiliary Buildings,,Air Traffic Control Tower & ECCAA Tech Block,,"Dust high surfaces (ledges, partitions, top of shelves)",1/5
task,Auxiliary Buildings,,Air Traffic Control Tower & ECCAA Tech Block,,"Spot clean walls and light switches",1/5
task,Auxiliary Buildings,,Air Traffic Control Tower & ECCAA Tech Block,,"Spot clean / vacuum carpets, rugs and floor mats",2/1
task,Auxiliary Buildings,,Air Traffic Control Tower & ECCAA Tech Block,,"Cobweb Ceiling",1/30
task,Auxiliary Buildings,,Air Traffic Control Tower & ECCAA Tech Block,,"Clean Ledges",1/60
task,Auxiliary Buildings,,Air Traffic Control Tower & ECCAA Tech Block,,"Clean Walls",1/90
task,Auxiliary Buildings,,Air Traffic Control Tower & ECCAA Tech Block,,"Clean Aluminum Frames",2/180
bundle_ref,Auxiliary Buildings,,Air Traffic Control Tower & ECCAA Tech Block,,"Terrazzo Maintenance and Floor Care",
task,Auxiliary Buildings,,Stores Building (Office),,"Sweep and Mop Floors",1/1
task,Auxiliary Buildings,,Stores Building (Office),,"Clean Toilets/Sinks",1/1
task,Auxiliary Buildings,,Stores Building (Office),,"Sanitize tables and countertops",1/1
task,Auxiliary Buildings,,Stores Building (Office),,"Clean kitchenette",1/1
task,Auxiliary Buildings,,Stores Building (Office),,"Dust high surfaces (ledges, partitions, top of shelves)",1/5
task,Auxiliary Buildings,,Stores Building (Office),,"Spot clean walls and light switches",1/5
task,Auxiliary Buildings,,Stores Building (Office),,"Cobweb Ceilings",1/60
task,Auxiliary Buildings,,Stores Building (Warehouse),,"Sweep Floors",1/1
task,Auxiliary Buildings,,Stores Building (Warehouse),,"Dust high surfaces (ledges, partitions, top of shelves)",1/30
task,Auxiliary Buildings,,Stores Building (Warehouse),,"Cobweb ceiling",1/60
task,Auxiliary Buildings,,Car Park Attendant Booth,,"Empty Bins/Dispose of Litter",1/1
task,Auxiliary Buildings,,Car Park Attendant Booth,,"Sweep and mop floors",1/1
task,Auxiliary Buildings,,Car Park Attendant Booth,,"Clean windows and doors",1/1
task,Auxiliary Buildings,,Car Park Attendant Booth,,"Clean Glass surfaces",1/1
task,Auxiliary Buildings,,Car Park Attendant Booth,,"Clean and sanitize tables, chairs and telephone",1/1
task,Auxiliary Buildings,,Car Park Attendant Booth,,"Spot clean walls and light switches",1/5
task,Auxiliary Buildings,,Car Park Attendant Booth,,"Spot clean / vacuum carpets, rugs and floor mats",2/1
task,Auxiliary Buildings,,Car Park Attendant Booth,,"Dust high surfaces (ledges, partitions, top of shelves)",1/5
task,Auxiliary Buildings,,Car Park Attendant Booth,,"Cobweb Ceiling",1/30
task,Auxiliary Buildings,,Security Guard Hut,,"Empty Bins/Dispose of Litter",1/1
task,Auxiliary Buildings,,Security Guard Hut,,"Sweep and mop floors",1/1
task,Auxiliary Buildings,,Security Guard Hut,,"Clean windows and doors",1/1
task,Auxiliary Buildings,,Security Guard Hut,,"Clean Glass surfaces",1/1
task,Auxiliary Buildings,,Security Guard Hut,,"Clean and sanitize tables, chairs and telephone",1/1
task,Auxiliary Buildings,,Security Guard Hut,,"Spot clean walls and light switches",1/5
task,Auxiliary Buildings,,Security Guard Hut,,"Dust high surfaces (ledges, partitions, top of shelves)",1/5
task,Auxiliary Buildings,,Security Guard Hut,,"Spot clean / vacuum carpets, rugs and floor mats",2/1
task,Auxiliary Buildings,,Security Guard Hut,,"Cobweb Ceilings",1/30
task,Auxiliary Buildings,,Amerijet Guard Hut,,"Empty Bins/Dispose of Litter",1/1
task,Auxiliary Buildings,,Amerijet Guard Hut,,"Sweep and Mop Floors",1/1
task,Auxiliary Buildings,,Amerijet Guard Hut,,"Clean Windows & Doors",1/1
task,Auxiliary Buildings,,Amerijet Guard Hut,,"Clean Glass surfaces",1/1
task,Auxiliary Buildings,,Amerijet Guard Hut,,"Clean and disinfect tables, chairs and telephone",1/1
task,Auxiliary Buildings,,Amerijet Guard Hut,,"Spot clean walls and light switches",1/5
task,Auxiliary Buildings,,Amerijet Guard Hut,,"Dust high surfaces (ledges, partitions, top of shelves)",1/5
task,Auxiliary Buildings,,Amerijet Guard Hut,,"Spot clean / vacuum carpets, rugs and floor mats",2/1
task,Auxiliary Buildings,,Amerijet Guard Hut,,"Cobweb Ceilings",1/30
task,Auxiliary Buildings,,Project House,,"Empty Bins/Dispose of Litter",1/1
task,Auxiliary Buildings,,Project House,,"Clean and sanitize tables and chairs",1/1
task,Auxiliary Buildings,,Project House,,"Sweep & Mop floors (tile / concrete)",1/1
task,Auxiliary Buildings,,Project House,,"Clean windows & doors",1/5
task,Auxiliary Buildings,,Project House,,"Dust high surfaces (ledges, partitions, top of shelves)",1/5
task,Auxiliary Buildings,,Project House,,"Spot clean walls and light switches",1/5
task,Auxiliary Buildings,,Project House,,"Spot clean / vacuum carpets, rugs and floor mats",2/1
task,Auxiliary Buildings,,Project House,,"Cobweb Ceilings",1/30
task,Auxiliary Buildings,,Project House,,"Clean Ledges",1/60
task,Auxiliary Buildings,,Project House,,"Clean Walls",1/90
task,Auxiliary Buildings,,Project Office,,"Empty Bins/Dispose of Litter",1/1
task,Auxiliary Buildings,,Project Office,,"Clean and sanitize desks, chairs and telephones",1/1
task,Auxiliary Buildings,,Project Office,,"Sweep & Mop Stairs",1/1
task,Auxiliary Buildings,,Project Office,,"Sweep & Mop Floor (wooden tile strips)",1/1
task,Auxiliary Buildings,,Project Office,,"Clean windows & doors",1/5
task,Auxiliary Buildings,,Project Office,,"Dust high surfaces (ledges, partitions, top of shelves)",1/5
task,Auxiliary Buildings,,Project Office,,"Spot clean walls and light switches",1/5
task,Auxiliary Buildings,,Project Office,,"Spot clean / vacuum carpets, rugs and floor mats",2/1
task,Auxiliary Buildings,,Project Office,,"Clean Ledges",1/60
task,Auxiliary Buildings,,Project Office,,"Clean Walls",1/90
task,Auxiliary Buildings,,Amerijet Cargo Shed,,"Empty Bins/Dispose of Litter",1/1
task,Auxiliary Buildings,,Amerijet Cargo Shed,,"Clean and sanitize tables, chairs and telephone",1/1
task,Auxiliary Buildings,,Amerijet Cargo Shed,,"Sweep & Mop Floors",1/1
task,Auxiliary Buildings,,Amerijet Cargo Shed,,"Sweep & Mop Staircase",1/1
task,Auxiliary Buildings,,Amerijet Cargo Shed,,"Clean Glass windows and doors",2/5
task,Auxiliary Buildings,,Amerijet Cargo Shed,,"Dust high surfaces (ledges, partitions, top of shelves)",1/5
task,Auxiliary Buildings,,Amerijet Cargo Shed,,"Clean Ledges",1/60
task,Auxiliary Buildings,,Amerijet Cargo Shed,,"Clean Walls",1/90
task,Auxiliary Buildings,,Amerijet Cargo Shed,,"Clean Aluminum Frames",2/180
task,Auxiliary Buildings,,Plumbing Lab & Lunchroom,,"Empty Bins/Dispose of Litter",1/1
task,Auxiliary Buildings,,Plumbing Lab & Lunchroom,,"Clean and sanitize Chairs, tables and telephones",1/1
task,Auxiliary Buildings,,Plumbing Lab & Lunchroom,,"Sweep and mop Floor Area",1/1
task,Auxiliary Buildings,,Plumbing Lab & Lunchroom,,"Clean windows & Doors",1/5
task,Auxiliary Buildings,,Plumbing Lab & Lunchroom,,"Clean Glass Louvers",2/5
task,Auxiliary Buildings,,Plumbing Lab & Lunchroom,,"Wipe & sanitize lunchroom countertop",2/5
task,Auxiliary Buildings,,Plumbing Lab & Lunchroom,,"Clean kitchen appliances (microwave & refrigerator)",2/5
task,Auxiliary Buildings,,Plumbing Lab & Lunchroom,,"Spot clean walls and light switches",1/5
task,Auxiliary Buildings,,Plumbing Lab & Lunchroom,,"Dust high surfaces (ledges, partitions, top of shelves)",1/5
task,Auxiliary Buildings,,Plumbing Lab & Lunchroom,,"Cobweb Ceilings",1/60
task,Auxiliary Buildings,,Plumbing Lab & Lunchroom,,"Wipe walls & ledges",1/90
